Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Nigeria,NGA,17.439,12.679
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,North Macedonia,MKD,8.5,9.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Northern Mariana Islands,MNP,2.633,4.142
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Norway,NOR,9.8,7.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Oman,OMN,3.155,2.001
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Pakistan,PAK,8.899,6.772
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Palau,PLW,9.922,10.631
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Panama,PAN,4.829,4.719
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Papua New Guinea,PNG,7.785,6.624
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Paraguay,PRY,5.324,5.584
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Peru,PER,5.631,6.16
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Philippines,PHL,5.394,5.896
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Poland,POL,9.6,10.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Portugal,PRT,10.2,10.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Puerto Rico (US),PRI,7.48,9.194
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Qatar,QAT,1.854,0.841
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Romania,ROU,11.4,13.4
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Russian Federation,RUS,15.3,12.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Rwanda,RWA,15.173,6.132
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Samoa,WSM,5.337,6.529
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,San Marino,SMR,8.003,7.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sao Tome and Principe,STP,9.653,6.117
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Saudi Arabia,SAU,3.234,2.295
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Senegal,SEN,10.815,5.979
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Serbia,SRB,13.8,14.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Seychelles,SYC,6.8,8.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sierra Leone,SLE,20.008,9.39
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Singapore,SGP,4.5,5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sint Maarten (Dutch part),SXM,3.782,6.879
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Slovak Republic,SVK,9.8,9.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Slovenia,SVN,9.3,9.9
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Solomon Islands,SLB,6.071,5.547
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Somalia, Fed. Rep.",SOM,15.749,10.908
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Africa,ZAF,10.393,8.75
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Sudan,SSD,17.315,9.302
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Spain,ESP,8.9,8.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sri Lanka,LKA,6.633,6.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Kitts and Nevis,KNA,9.408,9.985
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Lucia,LCA,6.428,8.425
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Martin (French part),MAF,3.576,6.886
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Vincent and the Grenadines,VCT,7.909,11.288
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sudan,SDN,9.972,6.549
