Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,United Kingdom,GBR,15.8897578485505,18.457958087858
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,United States,USA,12.1858169904893,15.6728852475003
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Uruguay,URY,13.0628146138341,15.1266239266362
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Uzbekistan,UZB,4.62465397007942,5.19811024525901
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Vanuatu,VUT,2.79309215647329,4.00620580886999
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Venezuela, RB",VEN,4.659577632677,7.84708794613938
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Viet Nam,VNM,5.98422229781561,7.25022977006795
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Virgin Islands (U.S.),VIR,8.49293368392453,20.6081288987105
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,West Bank and Gaza,PSE,2.28416052135412,3.50508535292495
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Yemen, Rep.",YEM,2.75108354427038,2.57211420533341
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Zambia,ZMB,2.36227994611301,1.78700911823288
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Zimbabwe,ZWE,3.43720240109888,3.53424144890757
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 02/24/2026,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
SP.POP.65UP.TO.ZS,CC BY-4.0,Population ages 65 and above (% of total population),"Population ages 65 and above as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,WB_WDI,Percentage,Annual,1960-2024,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.



This indicator is used for calculating age dependency ratio (percent of working-age population). The age dependency ratio is the ratio of the sum of the population aged 0-14 and the population aged 65 and above to the population aged 15-64. In many developing countries, the once rapidly growing population group of the under-15 population is shrinking. As a result, high fertility rates, together with declining mortality rates, are now reflected in the larger share of the 65 and older population.","Because the five-year age group is the cohort unit and five-year period data are used in the United Nations Population Division's World Population Prospects, interpolations to obtain annual data or single age structure may not reflect actual events or age composition. For more information, see the original source.",https://datacatalog.worldbank.org/public-licenses#cc-by
